;datumcas;CO2_ppm
1;9.11.2011;414,8192
2;9.11.2011;413,9288
3;9.11.2011;412,5625
4;9.11.2011;411,7722
5;9.11.2011;411,4753
6;9.11.2011;414,746
7;9.11.2011;413,7116
8;9.11.2011;412,709
9;9.11.2011;413,1795
10;9.11.2011;413,9418
11;9.11.2011;411,0419
12;9.11.2011;411,48
13;9.11.2011;409,0456
14;9.11.2011;415,8562
15;9.11.2011;411,9212
16;9.11.2011;412,284
17;9.11.2011;412,2675
18;9.11.2011;412,6497
19;9.11.2011;413,8079
20;9.11.2011;411,4275
21;9.11.2011;413,7706
22;9.11.2011;408,977
23;9.11.2011;415,0826
24;9.11.2011;414,3921
25;9.11.2011;414,031
26;9.11.2011;410,6562
27;9.11.2011;416,1183
28;9.11.2011;413,6055
29;9.11.2011;413,9459
30;9.11.2011;414,422
31;9.11.2011;414,0081
32;9.11.2011;417,1803
33;9.11.2011;411,6008
34;9.11.2011;415,6209
35;9.11.2011;409,6782
36;9.11.2011;412,3975
37;9.11.2011;411,6116
38;9.11.2011;416,6221
39;9.11.2011;413,4496
40;9.11.2011;410,4136
41;9.11.2011;411,9084
42;9.11.2011;412,6461
43;9.11.2011;414,1274
44;9.11.2011;416,0466
45;9.11.2011;411,8564
46;9.11.2011;413,8031
47;9.11.2011;414,3895
48;9.11.2011;413,523
49;9.11.2011;412,4189
50;9.11.2011;416,3146
51;9.11.2011;414,9548
52;9.11.2011;418,6401
53;9.11.2011;415,5415
54;9.11.2011;414,5622
55;9.11.2011;416,6431
56;9.11.2011;414,6935
57;9.11.2011;416,3746
58;9.11.2011;414,8124
59;9.11.2011;413,7458
60;9.11.2011;412,4535
61;9.11.2011;412,1053
62;9.11.2011;415,9069
63;9.11.2011;417,0439
64;9.11.2011;413,0952
65;9.11.2011;413,9067
66;9.11.2011;417,8548
67;9.11.2011;411,661
68;9.11.2011;414,7267
69;9.11.2011;414,1831
70;9.11.2011;412,816
71;9.11.2011;419,3123
72;9.11.2011;413,0921
73;9.11.2011;412,1839
74;9.11.2011;413,3745
75;9.11.2011;417,5951
76;9.11.2011;418,5285
77;9.11.2011;413,7441
78;9.11.2011;413,7147
79;9.11.2011;416,4489
80;9.11.2011;414,4584
81;9.11.2011;417,3679
82;9.11.2011;418,3099
83;9.11.2011;414,1938
84;9.11.2011;417,2869
85;9.11.2011;413,1714
86;9.11.2011;415,5362
87;9.11.2011;423,6826
88;9.11.2011;419,117
89;9.11.2011;417,414
90;9.11.2011;412,5976
91;9.11.2011;418,2841
92;9.11.2011;419,1338
93;9.11.2011;411,7538
94;9.11.2011;415,0421
95;9.11.2011;417,8459
96;9.11.2011;413,3162
97;9.11.2011;418,4197
98;9.11.2011;414,1137
99;9.11.2011;415,5491
100;9.11.2011;415,2549
101;9.11.2011;415,9806
102;9.11.2011;415,484
103;9.11.2011;414,9025
104;9.11.2011;418,1874
105;9.11.2011;418,988
